fecha,ticker,Apertura,cierre,máximo,Mínimo,Volumen
2020-01-01,AAPL,418.3292664346458,422.1836066138639,0.0,478.5053853514003,983985.0
2020-01-02,AMZN,452.9155471370163,295.44732928090133,202.65144405511464,229.32357595051144,182256.0
2020-01-03,AAPL,349.52291630517726,327.7858646628746,0.0,346.4002972413414,49259.0
2020-01-04,MSFT,303.87369482015777,487.6855602734062,137.5952251590345,124.16349063287888,380147.0
2020-01-05,TSLA,367.0880144834756,197.65626797723536,,230.18475841108454,395956.0
2020-01-06,AAPL,181.75035549795192,458.99648331931814,278.4575282584087,474.3305020394169,434422.0
2020-01-07,TSLA,424.1235895266229,218.9798566430752,225.21572201847783,360.1053333190454,35546.0
2020-01-08,MSFT,364.44698232149045,357.7981506160214,466.89211505654214,359.04115135591275,969463.0
2020-01-09,AMZN,191.09528789948325,402.6038204110066,196.87487714180017,170.32754601164575,
2020-01-10,TSLA,461.65889372760125,388.90199920363204,226.4185787130491,161.1813466044905,513292.0
2020-01-11,TSLA,383.5834914758994,492.7639503549244,,442.23996017203046,615836.0
2020-01-12,GOOGL,468.4859734240605,227.82717732347265,378.14169634610954,464.41760891393346,563784.0
2020-01-13,AAPL,354.66926250378515,359.78259824811425,392.2268726415417,461.75389744011204,0.0
2020-01-14,TSLA,294.7054005994472,289.6052356672123,205.7617572577802,204.07440417839132,355560.0
2020-01-15,TSLA,386.35169563356993,253.90856341947608,331.6562162837306,407.67290644641776,177796.0
2020-01-16,AMZN,0.0,423.00956960072017,324.18457297902864,105.03018356256466,
2020-01-17,AMZN,159.66050756736539,209.97655263588584,428.27242274518176,399.18705196877977,599814.0
2020-01-18,AAPL,463.05491046383673,358.6203747296972,450.533848723766,436.93250190003477,469838.0
2020-01-19,TSLA,299.5246604753801,156.96798588872744,326.67123811504285,,911310.0
2020-01-20,GOOGL,444.67013936039615,236.08111173243276,0.0,309.6555551607047,888356.0
2020-01-21,TSLA,297.37338909433527,134.82431275356564,196.91695443415546,219.34557552748765,505617.0
2020-01-22,AAPL,324.30327915026714,489.1982835515852,0.0,427.61514162558353,709365.0
2020-01-23,AAPL,311.8945570896958,129.19018859410772,294.7429451710983,421.3652050420143,221125.0
2020-01-24,AAPL,477.7284399945673,0.0,189.2935401066664,272.574680753582,404839.0
2020-01-25,AAPL,112.51980390199728,111.68842951357777,158.3938342501412,383.1170766655168,260655.0
